Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼
180,Tyus Jones\jonesty01,PG,24,MEM,54,8,19.1,2.9,6.5,.440,0.7,2.2,.322,2.2,4.3,.500,.494,0.6,0.6,.914,0.4,1.9,2.2,4.1,1.1,0.1,0.7,0.4,7.0
181,Tyrese Maxey\maxeyty01,SG,20,PHI,47,6,14.1,2.9,6.5,.449,0.4,1.5,.282,2.5,5.0,.500,.482,0.7,0.8,.868,0.2,1.3,1.5,1.6,0.3,0.1,0.6,1.1,7.0
182,Jeff Teague\teaguje01,PG,32,TOT,42,6,18.2,2.3,5.5,.426,0.7,1.6,.441,1.6,3.9,.420,.491,1.6,1.9,.852,0.3,1.4,1.6,2.4,0.6,0.2,1.1,1.2,7.0
183,Payton Pritchard\pritcpa01,SG,23,BOS,50,1,18.7,2.6,5.8,.443,1.3,3.2,.404,1.3,2.6,.492,.555,0.5,0.5,.885,0.5,1.7,2.2,1.9,0.5,0.1,0.9,1.7,6.9
184,Isaiah Stewart\stewais01,C,19,DET,54,5,20.0,3.0,5.2,.577,0.2,0.5,.407,2.8,4.7,.595,.597,0.7,1.1,.650,2.3,3.9,6.2,0.9,0.5,1.0,0.9,2.5,6.9
185,Denzel Valentine\valende01,SG,27,CHI,48,3,17.5,2.7,7.0,.382,1.4,4.1,.337,1.3,2.9,.446,.481,0.2,0.2,1.000,0.4,3.1,3.5,1.7,0.5,0.0,0.7,1.1,6.9
186,Dwight Howard\howardw01,C,35,PHI,54,5,17.4,2.5,4.3,.583,0.1,0.3,.250,2.4,4.0,.607,.591,1.8,3.0,.579,2.6,5.6,8.3,0.7,0.4,0.9,1.8,3.0,6.8
187,Royce O'Neale\onealro01,SF,27,UTA,55,55,31.9,2.3,5.4,.431,1.5,3.9,.376,0.9,1.5,.571,.566,0.7,0.8,.857,1.2,5.7,6.9,2.5,0.8,0.5,1.1,2.8,6.8
188,Jaden McDaniels\mcdanja02,PF,20,MIN,50,16,22.7,2.5,5.8,.435,1.1,3.1,.368,1.4,2.7,.511,.533,0.5,0.8,.590,0.8,2.8,3.6,1.1,0.5,1.0,0.7,2.6,6.7
189,Draymond Green\greendr01,PF,30,GSW,48,48,30.6,2.5,6.1,.416,0.5,2.1,.263,2.0,4.0,.495,.460,1.1,1.4,.773,0.9,5.7,6.6,8.5,1.6,0.8,3.0,3.1,6.6
190,Alex Len\lenal01,C,27,TOT,47,25,15.6,2.7,4.4,.615,0.1,0.5,.304,2.5,3.9,.654,.632,1.1,1.9,.596,1.0,2.9,3.9,0.9,0.3,1.1,0.9,2.0,6.6
191,Timothé Luwawu-Cabarrot\luwawti01,SF,25,BRK,49,7,19.2,2.3,6.5,.360,1.4,4.4,.312,1.0,2.1,.461,.465,0.6,0.8,.789,0.5,1.9,2.4,1.2,0.6,0.1,0.8,1.8,6.6
192,Trey Burke\burketr01,PG,28,DAL,49,0,14.3,2.4,5.4,.444,1.0,2.7,.362,1.4,2.8,.522,.532,0.7,0.8,.850,0.1,0.8,0.9,1.3,0.6,0.1,0.5,1.0,6.5
193,Damion Lee\leeda03,SG,28,GSW,55,1,18.8,2.2,4.9,.457,1.4,3.5,.391,0.9,1.4,.627,.597,0.7,0.8,.909,0.4,2.7,3.1,1.3,0.7,0.1,0.5,1.6,6.5
194,Deni Avdija\avdijde01,SF,20,WAS,51,29,23.4,2.4,5.8,.420,1.0,3.2,.323,1.4,2.6,.537,.508,0.5,0.8,.643,0.4,4.5,4.9,1.2,0.6,0.3,0.6,2.7,6.4
195,Kent Bazemore\bazemke01,SF,31,GSW,54,5,17.6,2.3,5.2,.448,1.0,2.4,.412,1.3,2.7,.480,.545,0.7,1.1,.702,0.4,2.5,3.0,1.6,0.9,0.5,1.1,2.2,6.4
196,Terance Mann\mannte01,SG,24,LAC,55,5,18.4,2.5,5.0,.495,0.5,1.2,.418,1.9,3.7,.519,.546,1.0,1.2,.779,0.9,2.9,3.7,1.6,0.5,0.2,0.6,1.9,6.4
197,Edmond Sumner\sumneed01,SG,25,IND,42,14,14.3,2.4,4.6,.521,0.6,1.5,.375,1.8,3.0,.594,.583,1.1,1.4,.793,0.4,1.2,1.6,0.7,0.6,0.2,0.9,1.4,6.4
198,Xavier Tillman Sr.\tillmxa01,PF,22,MEM,44,7,18.3,2.7,5.0,.536,0.3,1.1,.300,2.3,3.9,.606,.570,0.7,1.0,.690,1.2,2.9,4.1,1.3,0.8,0.6,0.7,2.1,6.4
199,Jaxson Hayes\hayesja02,C,20,NOP,44,3,14.8,2.5,3.8,.657,0.1,0.1,.500,2.4,3.6,.663,.666,1.3,1.7,.757,1.3,2.5,3.8,0.6,0.4,0.5,0.7,1.8,6.3
200,Garrison Mathews\mathega01,SG,24,WAS,49,22,18.0,1.7,4.0,.424,1.3,3.3,.405,0.4,0.7,.514,.591,1.3,1.5,.892,0.3,1.2,1.5,0.5,0.5,0.1,0.2,1.8,6.1
201,Alex Caruso\carusal01,PG,26,LAL,46,0,20.4,2.1,4.9,.431,1.0,2.3,.415,1.2,2.6,.445,.529,0.8,1.2,.655,0.5,2.4,3.0,2.6,1.2,0.2,1.2,1.8,6.0
202,Aron Baynes\baynear01,C,34,TOR,50,31,18.2,2.4,5.6,.431,0.4,1.9,.237,2.0,3.8,.527,.470,0.5,0.7,.730,1.7,3.4,5.1,0.9,0.3,0.4,0.9,2.3,5.8
203,Georges Niang\niangge01,PF,27,UTA,56,1,14.3,2.1,4.8,.433,1.5,3.6,.411,0.6,1.2,.500,.587,0.1,0.1,1.000,0.3,2.0,2.3,0.7,0.3,0.1,0.6,1.6,5.8
204,Derrick Favors\favorde01,C,29,UTA,53,0,15.5,2.3,3.8,.623,0.0,0.0,.000,2.3,3.7,.626,.623,1.0,1.4,.740,2.1,3.4,5.5,0.8,0.5,1.0,0.6,2.2,5.7
205,Khem Birch\birchkh01,C,28,TOT,52,7,20.2,2.1,4.5,.468,0.1,0.5,.208,2.0,4.1,.498,.479,1.3,1.8,.723,2.4,2.7,5.1,1.0,0.7,0.7,0.5,1.5,5.6
206,Tony Snell\snellto01,SG,29,ATL,40,18,21.0,1.9,3.7,.517,1.4,2.5,.571,0.5,1.2,.408,.707,0.3,0.3,1.000,0.4,2.0,2.4,1.3,0.2,0.3,0.5,1.6,5.5
207,Marc Gasol\gasolma01,C,36,LAL,44,42,19.5,1.8,4.1,.444,1.0,2.5,.387,0.8,1.6,.536,.564,0.8,1.0,.750,0.8,3.3,4.0,2.1,0.5,1.2,1.2,2.3,5.4
208,Josh Okogie\okogijo01,SG,22,MIN,44,28,20.8,1.7,4.4,.387,0.5,1.9,.280,1.2,2.5,.464,.446,1.5,1.8,.821,0.9,1.7,2.5,1.1,1.0,0.5,0.8,2.2,5.4
209,Dean Wade\wadede01,PF,24,CLE,47,13,17.1,2.0,4.5,.437,1.1,3.1,.375,0.8,1.5,.565,.563,0.3,0.4,.762,0.5,2.6,3.1,1.1,0.4,0.4,0.4,1.1,5.4
210,Bismack Biyombo\biyombi01,C,28,CHO,51,30,20.9,2.2,3.8,.579,0.0,0.0,.000,2.2,3.8,.582,.579,0.8,1.7,.483,2.0,3.2,5.2,1.3,0.3,1.1,1.0,2.3,5.3
211,Jake Layman\laymaja01,SF,26,MIN,41,11,14.6,2.1,4.2,.494,0.5,1.8,.288,1.6,2.5,.644,.555,0.6,0.9,.703,0.3,1.2,1.6,0.7,0.7,0.4,0.6,1.0,5.3
212,Jarred Vanderbilt\vandeja01,PF,21,MIN,49,25,17.4,2.1,3.6,.603,0.0,0.1,.250,2.1,3.5,.612,.606,1.0,1.8,.567,1.6,3.8,5.4,1.3,1.0,0.7,1.0,1.9,5.3
213,Brad Wanamaker\wanambr01,PG,31,TOT,49,0,16.8,1.8,4.9,.368,0.3,1.6,.203,1.5,3.3,.450,.402,1.4,1.6,.872,0.2,1.4,1.7,2.8,0.7,0.2,1.1,1.5,5.3
214,Precious Achiuwa\achiupr01,PF,21,MIA,53,2,12.3,2.0,3.7,.551,0.0,0.0,,2.0,3.7,.551,.551,1.0,1.9,.515,1.3,2.2,3.5,0.5,0.3,0.5,0.7,1.6,5.1
215,Facundo Campazzo\campafa01,PG,29,DEN,50,4,19.0,1.6,4.1,.390,1.1,2.9,.385,0.5,1.2,.403,.524,0.8,1.0,.824,0.3,1.3,1.6,2.9,1.0,0.2,1.0,1.9,5.1
216,Nerlens Noel\noelne01,C,26,NYK,50,27,23.3,2.1,3.5,.602,0.0,0.0,.000,2.1,3.5,.609,.602,0.7,1.1,.685,2.3,4.0,6.3,0.7,1.0,2.1,1.2,2.7,5.0
217,Devin Vassell\vassede01,SF,20,SAS,44,1,16.5,1.8,4.4,.397,0.9,2.2,.392,0.9,2.2,.402,.495,0.7,0.8,.879,0.4,2.3,2.8,0.9,0.8,0.3,0.4,1.4,5.0
218,Rodney Hood\hoodro01,SF,28,TOT,47,5,18.6,1.9,5.3,.364,0.7,2.3,.306,1.2,3.0,.410,.431,0.4,0.4,.810,0.4,1.5,1.9,1.1,0.4,0.1,0.7,1.5,4.9
219,Caleb Martin\martica02,SF,25,CHO,41,2,14.8,1.8,4.9,.373,0.6,2.3,.266,1.2,2.6,.467,.435,0.7,1.1,.614,0.7,2.1,2.8,1.2,0.7,0.2,0.7,1.1,4.9
